['life', 'system', 'house', 'world', 'course', 'man', 'part', 'year']
['system', 'place', 'end', 'world', 'way', 'course', 'information', 'man']
['party', 'system', 'government', 'place', 'end', 'world', 'house', 'way']
['house', 'man', 'group', 'work', 'end', 'world', 'life', 'day']
['man', 'work', 'system', 'house', 'school', 'party', 'information', 'world']
['course', 'case', 'house', 'man', 'world', 'school', 'party', 'end']
['course', 'way', 'system', 'information', 'part', 'year', 'house', 'party']
['course', 'day', 'house', 'world', 'school', 'life', 'man', 'work']
['way', 'house', 'world', 'case', 'part', 'government', 'party', 'information']
['place', 'company', 'world', 'group', 'information', 'end', 'house', 'course']
['course', 'end', 'man', 'company', 'fact', 'part', 'school', 'work']
['company', 'fact', 'system', 'government', 'man', 'school', 'information', 'way']
['company', 'group', 'part', 'course', 'day', 'work', 'government', 'fact']
