['year', 'life', 'house', 'way', 'case', 'part', 'system', 'information']
['party', 'end', 'course', 'part', 'way', 'government', 'information', 'day']
['part', 'course', 'end', 'company', 'work', 'school', 'information', 'way']
['party', 'end', 'life', 'part', 'case', 'year', 'fact', 'course']
['place', 'part', 'information', 'school', 'way', 'party', 'system', 'case']
['work', 'day', 'fact', 'system', 'man', 'end', 'way', 'life']
['year', 'man', 'world', 'fact', 'company', 'life', 'day', 'work']
['course', 'day', 'end', 'work', 'fact', 'man', 'company', 'system']
['part', 'course', 'work', 'case', 'house', 'life', 'system', 'day']
['information', 'part', 'party', 'group', 'world', 'system', 'fact', 'school']
['life', 'case', 'school', 'end', 'course', 'year', 'way', 'company']
['course', 'place', 'work', 'company', 'fact', 'world', 'way', 'house']
['company', 'place', 'man', 'day', 'information', 'end', 'year', 'party']
['way', 'fact', 'government', 'group', 'party', 'place', 'end', 'day']
['party', 'system', 'government', 'school', 'group', 'work', 'way', 'day']
['day', 'group', 'system', 'government', 'place', 'end', 'year', 'party']
['school', 'party', 'man', 'house', 'company', 'course', 'work', 'information']
['party', 'end', 'man', 'day', 'course', 'company', 'part', 'year']
['way', 'year', 'man', 'government', 'end', 'world', 'system', 'company']
['world', 'party', 'fact', 'school', 'government', 'man', 'information', 'part']
['fact', 'life', 'information', 'work', 'system', 'end', 'group', 'government']
['house', 'work', 'year', 'fact', 'company', 'place', 'world', 'way']
['information', 'world', 'way', 'fact', 'life', 'party', 'house', 'group']
['government', 'party', 'place', 'work', 'system', 'day', 'world', 'year']
['government', 'company', 'house', 'life', 'year', 'day', 'system', 'part']
['party', 'school', 'place', 'day', 'system', 'group', 'company', 'world']
['house', 'company', 'end', 'group', 'man', 'work', 'year', 'case']
['world', 'way', 'information', 'school', 'group', 'party', 'fact', 'case']
['day', 'world', 'group', 'man', 'course', 'company', 'year', 'case']
['house', 'company', 'year', 'information', 'course', 'end', 'case', 'man']
['information', 'life', 'work', 'man', 'part', 'day', 'course', 'year']
['year', 'group', 'work', 'case', 'way', 'party', 'fact', 'day']
['fact', 'school', 'company', 'case', 'government', 'party', 'work', 'day']
['house', 'year', 'man', 'end', 'fact', 'part', 'way', 'group']
['place', 'information', 'man', 'day', 'government', 'work', 'end', 'course']
['party', 'end', 'part', 'life', 'work', 'house', 'course', 'world']
['way', 'government', 'school', 'party', 'life', 'case', 'place', 'year']
['part', 'work', 'end', 'case', 'house', 'school', 'world', 'party']
['information', 'life', 'work', 'year', 'end', 'case', 'world', 'company']
['government', 'life', 'end', 'work', 'group', 'school', 'information', 'way']
['group', 'course', 'work', 'information', 'day', 'government', 'company', 'school']
['place', 'end', 'system', 'way', 'information', 'government', 'case', 'work']
['world', 'fact', 'work', 'life', 'day', 'government', 'house', 'course']
['company', 'place', 'fact', 'party', 'work', 'life', 'day', 'government']
['system', 'company', 'course', 'work', 'information', 'school', 'day', 'government']
['life', 'school', 'work', 'information', 'fact', 'system', 'day', 'way']
['year', 'life', 'house', 'course', 'way', 'school', 'party', 'system']
['man', 'end', 'course', 'fact', 'company', 'group', 'government', 'party']
['school', 'fact', 'year', 'way', 'end', 'man', 'company', 'course']
['work', 'part', 'case', 'world', 'government', 'life', 'end', 'system']
['information', 'world', 'life', 'party', 'case', 'way', 'group', 'end']
['information', 'house', 'fact', 'world', 'company', 'man', 'government', 'work']
['party', 'man', 'house', 'end', 'group', 'case', 'place', 'government']
