['life', 'group', 'year', 'case', 'work', 'man', 'school', 'day']
['day', 'information', 'year', 'government', 'man', 'house', 'group', 'way']
['day', 'party', 'fact', 'company', 'case', 'house', 'course', 'man']
['work', 'way', 'case', 'world', 'end', 'house', 'government', 'school']
['system', 'end', 'work', 'day', 'life', 'man', 'information', 'company']
['party', 'information', 'case', 'house', 'school', 'system', 'man', 'fact']
['government', 'school', 'company', 'course', 'work', 'man', 'end', 'way']
['end', 'fact', 'school', 'information', 'case', 'day', 'part', 'way']
['school', 'part', 'way', 'fact', 'information', 'end', 'day', 'case']
['place', 'course', 'end', 'day', 'house', 'system', 'fact', 'world']
['place', 'year', 'fact', 'house', 'case', 'day', 'group', 'system']
['end', 'case', 'world', 'year', 'part', 'school', 'company', 'way']
['place', 'end', 'part', 'course', 'case', 'party', 'life', 'fact']
['man', 'government', 'way', 'school', 'end', 'information', 'work', 'course']
['world', 'company', 'year', 'man', 'work', 'part', 'house', 'life']
['man', 'house', 'case', 'year', 'part', 'company', 'fact', 'information']
['end', 'fact', 'course', 'government', 'life', 'day', 'work', 'school']
['information', 'fact', 'day', 'life', 'man', 'part', 'course', 'end']
['day', 'government', 'information', 'fact', 'company', 'work', 'party', 'system']
['group', 'work', 'house', 'case', 'end', 'information', 'government', 'school']
['company', 'year', 'world', 'system', 'man', 'school', 'group', 'fact']
['case', 'end', 'party', 'man', 'company', 'system', 'world', 'day']
['work', 'man', 'system', 'world', 'end', 'government', 'group', 'school']
['fact', 'course', 'end', 'world', 'place', 'work', 'day', 'case']
['year', 'case', 'day', 'way', 'place', 'system', 'school', 'group']
['school', 'group', 'house', 'system', 'fact', 'part', 'party', 'way']
['year', 'world', 'work', 'government', 'school', 'life', 'company', 'part']
['case', 'company', 'life', 'information', 'world', 'course', 'party', 'day']
['end', 'party', 'government', 'day', 'life', 'case', 'place', 'group']
['case', 'system', 'fact', 'government', 'house', 'way', 'group', 'course']
['party', 'school', 'information', 'day', 'place', 'man', 'end', 'part']
['work', 'world', 'information', 'year', 'course', 'end', 'part', 'government']
['part', 'work', 'place', 'end', 'course', 'case', 'man', 'information']
['government', 'information', 'party', 'house', 'school', 'company', 'fact', 'course']
['world', 'end', 'place', 'way', 'company', 'fact', 'school', 'man']
['fact', 'end', 'group', 'place', 'system', 'world', 'course', 'party']
['information', 'house', 'case', 'party', 'government', 'way', 'course', 'system']
['man', 'place', 'case', 'fact', 'part', 'company', 'world', 'group']
['case', 'world', 'day', 'fact', 'school', 'course', 'house', 'man']
['information', 'world', 'way', 'day', 'party', 'government', 'system', 'work']
['end', 'day', 'company', 'house', 'work', 'information', 'part', 'case']
['system', 'place', 'case', 'information', 'group', 'part', 'way', 'work']
['school', 'house', 'course', 'end', 'group', 'year', 'party', 'world']
['fact', 'course', 'end', 'case', 'company', 'system', 'government', 'part']
['world', 'government', 'system', 'company', 'man', 'life', 'end', 'year']
['information', 'school', 'company', 'work', 'day', 'case', 'system', 'life']
['company', 'part', 'school', 'house', 'group', 'man', 'work', 'information']
['system', 'case', 'world', 'school', 'day', 'group', 'life', 'way']
['man', 'system', 'world', 'course', 'life', 'school', 'end', 'year']
['information', 'case', 'course', 'way', 'year', 'system', 'group', 'fact']
