['school', 'course', 'information', 'day', 'system', 'government', 'way', 'man']
['year', 'day', 'school', 'system', 'government', 'party', 'fact', 'information']
['group', 'information', 'world', 'government', 'house', 'year', 'fact', 'way']
['system', 'company', 'way', 'life', 'government', 'year', 'course', 'man']
['world', 'course', 'house', 'life', 'government', 'work', 'end', 'place']
['information', 'group', 'way', 'year', 'day', 'man', 'place', 'work']
['place', 'group', 'way', 'school', 'case', 'life', 'day', 'house']
['end', 'case', 'fact', 'government', 'system', 'information', 'company', 'group']
['party', 'man', 'information', 'work', 'course', 'government', 'group', 'house']
['place', 'work', 'company', 'life', 'information', 'party', 'year', 'world']
['fact', 'year', 'way', 'day', 'world', 'system', 'man', 'place']
['part', 'party', 'government', 'course', 'system', 'world', 'way', 'information']
['house', 'company', 'party', 'part', 'work', 'way', 'end', 'information']
['party', 'school', 'course', 'world', 'group', 'work', 'place', 'day']
['world', 'case', 'house', 'day', 'work', 'system', 'end', 'group']
['part', 'case', 'group', 'man', 'course', 'life', 'end', 'government']
['case', 'way', 'group', 'information', 'world', 'place', 'life', 'end']
['way', 'case', 'part', 'day', 'company', 'house', 'man', 'place']
['house', 'government', 'man', 'year', 'course', 'group', 'work', 'way']
['course', 'system', 'world', 'house', 'company', 'day', 'government', 'school']
['case', 'government', 'school', 'party', 'course', 'life', 'information', 'place']
['year', 'system', 'information', 'case', 'house', 'group', 'work', 'place']
['work', 'day', 'way', 'group', 'fact', 'life', 'house', 'place']
['information', 'house', 'course', 'day', 'year', 'place', 'end', 'case']
['company', 'school', 'system', 'party', 'world', 'government', 'part', 'course']
['day', 'work', 'way', 'end', 'part', 'year', 'world', 'party']
['part', 'work', 'world', 'school', 'day', 'party', 'system', 'life']
['day', 'party', 'year', 'case', 'world', 'course', 'part', 'group']
['group', 'place', 'company', 'information', 'end', 'man', 'year', 'fact']
