['man', 'party', 'life', 'company', 'work', 'place', 'group', 'fact']
['party', 'part', 'world', 'man', 'company', 'way', 'case', 'course']
['way', 'case', 'government', 'part', 'work', 'course', 'year', 'man']
['system', 'fact', 'company', 'party', 'government', 'school', 'way', 'life']
['work', 'company', 'part', 'house', 'way', 'year', 'school', 'world']
['way', 'school', 'group', 'day', 'course', 'information', 'fact', 'government']
['company', 'fact', 'house', 'place', 'course', 'school', 'part', 'man']
['day', 'fact', 'course', 'system', 'school', 'case', 'company', 'house']
['course', 'work', 'man', 'day', 'school', 'case', 'year', 'house']
['way', 'school', 'party', 'day', 'work', 'man', 'company', 'house']
['system', 'information', 'case', 'government', 'way', 'place', 'course', 'man']
['course', 'life', 'information', 'system', 'way', 'man', 'year', 'world']
['government', 'case', 'way', 'place', 'day', 'world', 'house', 'end']
['party', 'man', 'place', 'life', 'world', 'group', 'information', 'end']
['group', 'man', 'system', 'world', 'company', 'end', 'part', 'fact']
['part', 'work', 'way', 'information', 'fact', 'system', 'company', 'school']
['government', 'year', 'day', 'company', 'work', 'fact', 'way', 'life']
['system', 'government', 'party', 'end', 'group', 'information', 'year', 'man']
['fact', 'man', 'work', 'part', 'government', 'end', 'system', 'course']
['government', 'house', 'fact', 'information', 'case', 'group', 'end', 'day']
['end', 'world', 'party', 'man', 'company', 'information', 'place', 'course']
['way', 'man', 'year', 'party', 'company', 'information', 'life', 'group']
['case', 'information', 'life', 'party', 'year', 'work', 'fact', 'end']
['world', 'place', 'government', 'school', 'year', 'system', 'fact', 'part']
['information', 'place', 'party', 'group', 'work', 'system', 'man', 'house']
['day', 'year', 'course', 'life', 'school', 'work', 'house', 'company']
['case', 'man', 'place', 'house', 'company', 'information', 'school', 'work']
['work', 'part', 'school', 'man', 'end', 'place', 'way', 'house']
['school', 'way', 'government', 'year', 'case', 'life', 'house', 'place']
['work', 'fact', 'party', 'way', 'group', 'world', 'school', 'case']
['part', 'fact', 'group', 'man', 'world', 'party', 'house', 'school']
['information', 'system', 'man', 'day', 'work', 'government', 'company', 'year']
['place', 'company', 'case', 'party', 'school', 'part', 'year', 'group']
['house', 'world', 'place', 'year', 'group', 'government', 'company', 'system']
['system', 'way', 'part', 'group', 'information', 'course', 'company', 'school']
['part', 'work', 'school', 'place', 'world', 'end', 'year', 'system']
['place', 'company', 'group', 'work', 'course', 'fact', 'life', 'school']
['course', 'information', 'life', 'world', 'year', 'part', 'fact', 'way']
['house', 'life', 'place', 'fact', 'way', 'course', 'case', 'information']
['system', 'life', 'house', 'way', 'man', 'school', 'fact', 'party']
['group', 'year', 'day', 'house', 'fact', 'place', 'system', 'school']
['year', 'house', 'case', 'way', 'group', 'end', 'system', 'information']
['man', 'course', 'government', 'group', 'work', 'system', 'end', 'place']
['course', 'party', 'company', 'day', 'information', 'life', 'place', 'house']
['house', 'man', 'school', 'fact', 'way', 'group', 'day', 'course']
['work', 'group', 'company', 'party', 'information', 'school', 'man', 'year']
['house', 'life', 'world', 'way', 'government', 'company', 'place', 'school']
['case', 'information', 'house', 'fact', 'school', 'way', 'day', 'group']
['course', 'company', 'fact', 'world', 'system', 'end', 'way', 'life']
