['place', 'fact', 'year', 'government', 'course', 'school', 'party', 'information']
['company', 'man', 'course', 'day', 'government', 'year', 'life', 'part']
['life', 'year', 'system', 'course', 'work', 'company', 'case', 'end']
['company', 'case', 'house', 'group', 'government', 'end', 'course', 'way']
['government', 'year', 'school', 'place', 'company', 'case', 'man', 'world']
['system', 'house', 'end', 'work', 'life', 'part', 'government', 'man']
['fact', 'course', 'company', 'party', 'part', 'group', 'school', 'work']
['world', 'company', 'end', 'system', 'case', 'fact', 'man', 'house']
['part', 'case', 'place', 'man', 'company', 'system', 'day', 'house']
['way', 'house', 'group', 'day', 'government', 'place', 'company', 'party']
['case', 'life', 'year', 'man', 'work', 'company', 'party', 'way']
['school', 'world', 'fact', 'work', 'party', 'year', 'way', 'life']
['way', 'work', 'life', 'school', 'year', 'information', 'government', 'company']
['fact', 'school', 'case', 'house', 'work', 'course', 'system', 'year']
['case', 'system', 'company', 'part', 'group', 'fact', 'school', 'information']
['case', 'information', 'system', 'house', 'fact', 'company', 'group', 'man']
['end', 'place', 'case', 'year', 'man', 'house', 'group', 'work']
['school', 'day', 'system', 'life', 'case', 'part', 'place', 'work']
['world', 'group', 'information', 'year', 'party', 'way', 'day', 'man']
['information', 'world', 'party', 'life', 'year', 'part', 'man', 'way']
['work', 'world', 'course', 'information', 'case', 'day', 'group', 'year']
['system', 'information', 'year', 'man', 'house', 'day', 'school', 'group']
['information', 'life', 'system', 'party', 'course', 'school', 'case', 'place']
['life', 'world', 'course', 'school', 'way', 'fact', 'information', 'work']
['year', 'party', 'world', 'life', 'company', 'system', 'work', 'government']
['man', 'company', 'place', 'year', 'end', 'house', 'day', 'world']
['information', 'place', 'party', 'world', 'fact', 'day', 'house', 'system']
['world', 'day', 'place', 'company', 'part', 'man', 'fact', 'year']
['house', 'place', 'part', 'man', 'world', 'fact', 'company', 'day']
['government', 'life', 'school', 'system', 'place', 'information', 'course', 'case']
['life', 'way', 'world', 'year', 'course', 'work', 'fact', 'place']
['world', 'way', 'house', 'case', 'school', 'system', 'company', 'life']
['fact', 'case', 'way', 'information', 'school', 'day', 'work', 'world']
['course', 'year', 'company', 'way', 'case', 'school', 'information', 'world']
['party', 'school', 'place', 'information', 'course', 'year', 'group', 'work']
['school', 'day', 'fact', 'year', 'case', 'world', 'life', 'company']
['end', 'group', 'world', 'information', 'year', 'work', 'fact', 'system']
['place', 'work', 'company', 'government', 'case', 'end', 'day', 'man']
['place', 'case', 'year', 'system', 'end', 'fact', 'man', 'house']
['company', 'year', 'party', 'work', 'end', 'man', 'place', 'system']
['group', 'company', 'party', 'place', 'information', 'day', 'man', 'system']
