['world', 'government', 'year', 'company', 'system', 'case', 'information', 'work']
['system', 'information', 'course', 'fact', 'company', 'group', 'party', 'world']
['year', 'course', 'party', 'work', 'world', 'school', 'end', 'life']
['house', 'information', 'life', 'year', 'work', 'part', 'company', 'fact']
['part', 'day', 'case', 'party', 'year', 'end', 'work', 'group']
['part', 'work', 'man', 'life', 'fact', 'year', 'world', 'way']
['life', 'part', 'information', 'place', 'way', 'house', 'government', 'system']
['life', 'work', 'end', 'house', 'school', 'party', 'course', 'company']
['fact', 'life', 'case', 'house', 'place', 'group', 'company', 'part']
['party', 'way', 'company', 'school', 'day', 'place', 'case', 'life']
['world', 'way', 'information', 'house', 'work', 'part', 'company', 'group']
['information', 'school', 'man', 'world', 'case', 'day', 'fact', 'company']
['day', 'year', 'work', 'way', 'information', 'school', 'company', 'world']
['group', 'house', 'world', 'case', 'way', 'place', 'fact', 'party']
['school', 'government', 'house', 'way', 'company', 'life', 'day', 'year']
['world', 'work', 'party', 'government', 'life', 'house', 'day', 'year']
['party', 'house', 'case', 'day', 'information', 'school', 'year', 'course']
