['way', 'life', 'year', 'company', 'course', 'day', 'place', 'case']
['company', 'fact', 'year', 'day', 'life', 'way', 'place', 'information']
['house', 'information', 'fact', 'end', 'part', 'course', 'man', 'group']
['school', 'party', 'part', 'end', 'house', 'system', 'life', 'group']
['year', 'course', 'end', 'world', 'house', 'information', 'work', 'fact']
['end', 'system', 'day', 'government', 'way', 'group', 'world', 'case']
['party', 'way', 'group', 'information', 'life', 'house', 'day', 'government']
['place', 'company', 'school', 'man', 'world', 'party', 'day', 'way']
['information', 'part', 'school', 'man', 'world', 'work', 'course', 'fact']
['house', 'government', 'information', 'place', 'company', 'life', 'group', 'school']
['work', 'company', 'information', 'house', 'world', 'way', 'end', 'system']
['end', 'life', 'school', 'world', 'group', 'information', 'fact', 'place']
