['system', 'government', 'place', 'group', 'day', 'party', 'school', 'house']
['year', 'way', 'fact', 'party', 'work', 'system', 'government', 'place']
['group', 'life', 'case', 'way', 'company', 'school', 'end', 'year']
['fact', 'year', 'group', 'information', 'place', 'government', 'way', 'case']
['work', 'party', 'group', 'part', 'man', 'end', 'fact', 'government']
['year', 'school', 'fact', 'case', 'way', 'place', 'system', 'work']
['work', 'life', 'course', 'end', 'party', 'house', 'year', 'information']
['house', 'school', 'group', 'end', 'party', 'world', 'life', 'way']
['life', 'government', 'school', 'group', 'world', 'end', 'company', 'part']
['case', 'government', 'school', 'course', 'way', 'world', 'place', 'information']
['house', 'way', 'year', 'man', 'part', 'day', 'group', 'information']
['end', 'life', 'course', 'fact', 'house', 'company', 'party', 'government']
['fact', 'group', 'house', 'school', 'life', 'party', 'end', 'man']
['system', 'fact', 'year', 'company', 'house', 'government', 'place', 'part']
['company', 'part', 'end', 'information', 'place', 'school', 'course', 'case']
['case', 'fact', 'information', 'school', 'day', 'course', 'way', 'house']
['end', 'fact', 'life', 'case', 'way', 'place', 'world', 'information']
['case', 'system', 'fact', 'company', 'day', 'life', 'year', 'course']
['man', 'company', 'case', 'group', 'course', 'place', 'day', 'system']
['case', 'day', 'end', 'information', 'company', 'world', 'group', 'way']
['course', 'man', 'life', 'world', 'year', 'company', 'work', 'day']
['fact', 'system', 'course', 'case', 'part', 'information', 'life', 'house']
['end', 'course', 'year', 'house', 'work', 'group', 'world', 'way']
['company', 'work', 'information', 'school', 'house', 'course', 'life', 'part']
['party', 'year', 'end', 'course', 'day', 'life', 'world', 'house']
['house', 'man', 'year', 'case', 'day', 'government', 'company', 'end']
['work', 'man', 'system', 'year', 'school', 'place', 'government', 'part']
['end', 'fact', 'government', 'school', 'party', 'way', 'world', 'information']
['man', 'party', 'government', 'system', 'end', 'fact', 'work', 'way']
['house', 'year', 'world', 'system', 'government', 'course', 'part', 'information']
['way', 'life', 'group', 'course', 'house', 'information', 'system', 'fact']
['party', 'system', 'year', 'information', 'part', 'end', 'life', 'case']
['house', 'group', 'fact', 'life', 'company', 'course', 'work', 'world']
['fact', 'company', 'information', 'man', 'life', 'end', 'course', 'part']
