['way', 'party', 'government', 'course', 'life', 'school', 'group', 'information']
['company', 'life', 'case', 'man', 'end', 'place', 'fact', 'world']
['year', 'course', 'system', 'way', 'fact', 'world', 'government', 'day']
['end', 'part', 'year', 'way', 'fact', 'case', 'world', 'company']
['fact', 'part', 'house', 'company', 'case', 'man', 'life', 'system']
['day', 'house', 'company', 'information', 'case', 'work', 'government', 'school']
['company', 'work', 'man', 'party', 'system', 'life', 'year', 'government']
['life', 'information', 'man', 'group', 'party', 'fact', 'day', 'company']
['fact', 'end', 'company', 'way', 'man', 'day', 'group', 'government']
['year', 'end', 'case', 'life', 'school', 'government', 'day', 'information']
['end', 'world', 'work', 'course', 'man', 'group', 'life', 'place']
['year', 'system', 'government', 'work', 'life', 'group', 'way', 'fact']
['man', 'house', 'year', 'party', 'fact', 'information', 'group', 'place']
['way', 'course', 'house', 'part', 'company', 'place', 'party', 'year']
['fact', 'case', 'house', 'school', 'information', 'man', 'group', 'day']
['life', 'system', 'school', 'man', 'part', 'case', 'government', 'world']
['part', 'house', 'case', 'course', 'world', 'place', 'man', 'party']
['man', 'government', 'company', 'day', 'fact', 'end', 'year', 'way']
['group', 'fact', 'school', 'man', 'system', 'government', 'case', 'house']
['way', 'year', 'system', 'house', 'course', 'fact', 'end', 'work']
['fact', 'man', 'school', 'group', 'house', 'life', 'world', 'day']
['day', 'school', 'course', 'company', 'house', 'way', 'work', 'life']
['house', 'government', 'man', 'information', 'course', 'group', 'fact', 'school']
['man', 'way', 'work', 'case', 'system', 'house', 'fact', 'party']
['house', 'end', 'way', 'company', 'world', 'information', 'life', 'work']
['group', 'way', 'end', 'day', 'man', 'case', 'government', 'life']
['house', 'day', 'case', 'world', 'group', 'life', 'government', 'information']
['case', 'day', 'place', 'end', 'life', 'course', 'part', 'fact']
['government', 'course', 'work', 'school', 'party', 'life', 'fact', 'world']
['company', 'case', 'work', 'party', 'part', 'life', 'end', 'course']
['work', 'way', 'company', 'part', 'system', 'end', 'man', 'party']
['way', 'life', 'company', 'year', 'man', 'system', 'world', 'case']
['fact', 'system', 'life', 'way', 'party', 'course', 'work', 'case']
['man', 'day', 'end', 'case', 'government', 'system', 'party', 'work']
['life', 'year', 'way', 'fact', 'end', 'school', 'work', 'government']
['information', 'course', 'end', 'government', 'party', 'part', 'world', 'school']
['government', 'system', 'life', 'world', 'case', 'man', 'part', 'house']
['day', 'course', 'work', 'company', 'man', 'end', 'party', 'fact']
['way', 'work', 'part', 'day', 'man', 'end', 'group', 'world']
['day', 'part', 'life', 'case', 'group', 'school', 'world', 'course']
['system', 'way', 'fact', 'place', 'year', 'house', 'group', 'information']
['place', 'way', 'end', 'government', 'school', 'course', 'part', 'house']
['government', 'group', 'way', 'day', 'system', 'end', 'fact', 'school']
['company', 'day', 'fact', 'work', 'group', 'place', 'school', 'end']
['part', 'way', 'man', 'world', 'course', 'house', 'work', 'life']
