['work', 'house', 'party', 'case', 'world', 'man', 'system', 'information']
['year', 'party', 'school', 'course', 'house', 'group', 'end', 'system']
['life', 'end', 'way', 'group', 'house', 'year', 'fact', 'government']
['fact', 'government', 'year', 'way', 'day', 'man', 'place', 'end']
['course', 'system', 'end', 'year', 'work', 'information', 'government', 'part']
['course', 'school', 'place', 'work', 'fact', 'year', 'information', 'world']
['man', 'party', 'case', 'group', 'school', 'day', 'place', 'end']
['company', 'day', 'year', 'information', 'fact', 'part', 'life', 'government']
['man', 'year', 'company', 'end', 'group', 'system', 'fact', 'place']
['fact', 'world', 'way', 'party', 'house', 'year', 'part', 'end']
['group', 'house', 'government', 'party', 'man', 'end', 'case', 'way']
['part', 'house', 'information', 'life', 'fact', 'place', 'party', 'case']
['group', 'system', 'work', 'house', 'party', 'government', 'part', 'world']
