['system', 'work', 'company', 'group', 'part', 'information', 'house', 'place']
['day', 'work', 'school', 'course', 'company', 'end', 'group', 'year']
['party', 'part', 'year', 'fact', 'place', 'course', 'government', 'world']
['case', 'information', 'house', 'government', 'company', 'end', 'party', 'part']
['group', 'part', 'work', 'system', 'place', 'year', 'party', 'case']
['system', 'way', 'case', 'place', 'party', 'group', 'part', 'world']
['party', 'part', 'life', 'place', 'information', 'course', 'government', 'world']
['life', 'information', 'course', 'system', 'party', 'fact', 'group', 'year']
['group', 'fact', 'company', 'way', 'work', 'day', 'information', 'case']
['school', 'life', 'case', 'course', 'fact', 'day', 'end', 'company']
['school', 'system', 'work', 'government', 'life', 'year', 'group', 'man']
['work', 'man', 'house', 'day', 'world', 'life', 'case', 'company']
['year', 'case', 'system', 'place', 'part', 'world', 'way', 'course']
['fact', 'party', 'information', 'course', 'world', 'year', 'way', 'day']
['place', 'system', 'fact', 'course', 'school', 'part', 'life', 'information']
['information', 'end', 'day', 'place', 'part', 'government', 'group', 'work']
['government', 'end', 'world', 'party', 'place', 'course', 'case', 'day']
['group', 'party', 'world', 'way', 'man', 'part', 'year', 'fact']
['way', 'system', 'world', 'school', 'part', 'case', 'group', 'place']
['party', 'man', 'work', 'life', 'government', 'house', 'school', 'place']
['world', 'school', 'company', 'fact', 'life', 'day', 'system', 'course']
['course', 'day', 'information', 'part', 'life', 'world', 'system', 'man']
['group', 'work', 'fact', 'government', 'course', 'company', 'life', 'place']
['information', 'government', 'group', 'system', 'work', 'place', 'way', 'life']
['place', 'end', 'information', 'man', 'case', 'work', 'part', 'system']
['work', 'group', 'fact', 'year', 'part', 'man', 'way', 'company']
['life', 'course', 'place', 'work', 'end', 'day', 'school', 'world']
['life', 'company', 'world', 'year', 'end', 'party', 'group', 'fact']
['way', 'life', 'fact', 'year', 'government', 'end', 'system', 'house']
['man', 'course', 'system', 'place', 'work', 'fact', 'information', 'part']
['company', 'world', 'place', 'day', 'school', 'course', 'part', 'party']
['party', 'course', 'system', 'house', 'man', 'case', 'place', 'day']
['end', 'information', 'government', 'world', 'part', 'school', 'day', 'group']
['place', 'case', 'information', 'life', 'government', 'day', 'world', 'group']
['company', 'work', 'course', 'world', 'place', 'school', 'government', 'part']
['world', 'year', 'work', 'house', 'party', 'way', 'group', 'government']
['course', 'system', 'end', 'life', 'man', 'place', 'school', 'fact']
['life', 'case', 'part', 'school', 'company', 'day', 'way', 'man']
['part', 'course', 'man', 'information', 'house', 'government', 'way', 'case']
['system', 'place', 'work', 'fact', 'year', 'company', 'end', 'information']
['party', 'course', 'part', 'house', 'life', 'system', 'company', 'case']
['world', 'house', 'system', 'information', 'government', 'fact', 'place', 'school']
['information', 'day', 'house', 'party', 'year', 'work', 'company', 'end']
['man', 'information', 'government', 'world', 'year', 'group', 'company', 'fact']
['house', 'part', 'world', 'life', 'day', 'course', 'information', 'party']
['government', 'day', 'system', 'fact', 'year', 'world', 'course', 'party']
['house', 'way', 'system', 'fact', 'school', 'world', 'place', 'party']
