['system', 'government', 'end', 'group', 'case', 'life', 'day', 'work']
['end', 'government', 'year', 'party', 'school', 'case', 'life', 'work']
['information', 'place', 'life', 'party', 'world', 'course', 'company', 'house']
['case', 'party', 'school', 'world', 'place', 'end', 'house', 'year']
['end', 'party', 'day', 'year', 'system', 'information', 'life', 'course']
['day', 'information', 'man', 'year', 'way', 'system', 'house', 'party']
['part', 'place', 'man', 'information', 'company', 'house', 'government', 'group']
['man', 'year', 'company', 'house', 'party', 'fact', 'life', 'school']
['house', 'life', 'place', 'company', 'part', 'world', 'information', 'work']
['way', 'system', 'end', 'part', 'day', 'party', 'man', 'government']
['day', 'fact', 'government', 'group', 'life', 'end', 'system', 'company']
['end', 'place', 'work', 'world', 'government', 'information', 'way', 'life']
['fact', 'group', 'school', 'end', 'case', 'information', 'party', 'government']
['life', 'case', 'system', 'way', 'information', 'part', 'end', 'group']
['man', 'world', 'group', 'end', 'party', 'part', 'fact', 'place']
['system', 'government', 'place', 'end', 'information', 'work', 'life', 'way']
['part', 'house', 'man', 'end', 'school', 'company', 'day', 'work']
['way', 'fact', 'year', 'information', 'company', 'world', 'system', 'man']
['man', 'life', 'system', 'fact', 'way', 'day', 'course', 'government']
['life', 'day', 'case', 'world', 'information', 'group', 'course', 'part']
['information', 'part', 'year', 'system', 'course', 'world', 'place', 'fact']
['man', 'work', 'system', 'school', 'fact', 'day', 'group', 'government']
['fact', 'man', 'party', 'company', 'case', 'end', 'group', 'way']
['place', 'way', 'fact', 'year', 'case', 'house', 'end', 'company']
['end', 'world', 'company', 'work', 'government', 'part', 'group', 'year']
['part', 'work', 'year', 'world', 'company', 'place', 'course', 'fact']
['fact', 'group', 'case', 'work', 'place', 'government', 'party', 'school']
['work', 'way', 'government', 'case', 'part', 'party', 'course', 'man']
['way', 'information', 'government', 'course', 'end', 'system', 'day', 'company']
['system', 'information', 'life', 'way', 'government', 'end', 'company', 'course']
['day', 'course', 'government', 'year', 'case', 'group', 'company', 'system']
['day', 'part', 'system', 'group', 'course', 'information', 'government', 'fact']
['man', 'group', 'information', 'day', 'case', 'school', 'house', 'work']
['world', 'house', 'way', 'fact', 'course', 'case', 'part', 'life']
['work', 'party', 'fact', 'life', 'company', 'school', 'year', 'house']
['end', 'company', 'case', 'work', 'world', 'house', 'part', 'day']
