['end', 'day', 'company', 'case', 'world', 'course', 'part', 'government']
['house', 'school', 'day', 'company', 'work', 'end', 'year', 'government']
['man', 'way', 'party', 'school', 'day', 'end', 'part', 'government']
['house', 'fact', 'government', 'group', 'world', 'system', 'work', 'day']
['way', 'government', 'day', 'school', 'information', 'case', 'man', 'place']
['life', 'work', 'world', 'year', 'man', 'fact', 'party', 'school']
['school', 'party', 'group', 'system', 'work', 'house', 'end', 'life']
['system', 'group', 'house', 'way', 'company', 'school', 'government', 'fact']
['case', 'world', 'government', 'work', 'fact', 'system', 'day', 'way']
['year', 'man', 'case', 'work', 'information', 'government', 'system', 'way']
['year', 'world', 'information', 'fact', 'school', 'way', 'government', 'group']
['world', 'government', 'group', 'man', 'school', 'house', 'system', 'way']
['work', 'party', 'fact', 'day', 'place', 'end', 'world', 'way']
['case', 'life', 'place', 'course', 'part', 'man', 'school', 'year']
['place', 'part', 'government', 'work', 'life', 'group', 'information', 'school']
['end', 'group', 'government', 'life', 'way', 'part', 'course', 'case']
['company', 'house', 'group', 'fact', 'work', 'information', 'case', 'system']
['government', 'party', 'company', 'place', 'information', 'group', 'system', 'man']
['work', 'information', 'course', 'case', 'fact', 'party', 'way', 'end']
['case', 'group', 'information', 'company', 'life', 'work', 'fact', 'school']
['government', 'life', 'work', 'case', 'end', 'system', 'year', 'house']
['course', 'government', 'man', 'case', 'company', 'house', 'way', 'fact']
['work', 'company', 'case', 'part', 'course', 'place', 'world', 'year']
['fact', 'party', 'day', 'system', 'place', 'group', 'end', 'part']
['life', 'case', 'house', 'fact', 'company', 'course', 'school', 'group']
['system', 'group', 'school', 'world', 'course', 'man', 'life', 'house']
['fact', 'world', 'school', 'life', 'end', 'information', 'year', 'party']
['place', 'man', 'way', 'course', 'company', 'work', 'world', 'school']
['end', 'way', 'part', 'course', 'man', 'work', 'life', 'place']
['group', 'government', 'end', 'house', 'system', 'party', 'school', 'world']
['part', 'house', 'case', 'man', 'information', 'government', 'system', 'group']
['year', 'system', 'school', 'party', 'life', 'group', 'fact', 'man']
['life', 'school', 'way', 'course', 'information', 'work', 'company', 'house']
['group', 'company', 'man', 'system', 'house', 'course', 'information', 'place']
['place', 'way', 'course', 'school', 'information', 'government', 'man', 'case']
['house', 'end', 'company', 'day', 'information', 'fact', 'party', 'system']
['end', 'fact', 'party', 'work', 'life', 'year', 'school', 'place']
['life', 'house', 'party', 'day', 'end', 'information', 'part', 'company']
['case', 'fact', 'world', 'part', 'end', 'course', 'information', 'government']
['part', 'way', 'fact', 'company', 'course', 'school', 'year', 'system']
['life', 'way', 'system', 'party', 'day', 'group', 'part', 'fact']
['fact', 'government', 'place', 'case', 'end', 'party', 'information', 'system']
['party', 'group', 'life', 'fact', 'house', 'end', 'government', 'world']
['fact', 'way', 'world', 'group', 'place', 'information', 'government', 'part']
['day', 'fact', 'part', 'group', 'work', 'year', 'school', 'information']
['course', 'government', 'company', 'information', 'part', 'way', 'year', 'work']
['party', 'part', 'school', 'end', 'life', 'house', 'way', 'fact']
['part', 'company', 'end', 'fact', 'school', 'course', 'place', 'group']
['year', 'company', 'man', 'party', 'day', 'way', 'house', 'case']
['school', 'fact', 'house', 'course', 'information', 'world', 'party', 'government']
['case', 'government', 'way', 'world', 'place', 'work', 'year', 'company']
['information', 'group', 'man', 'end', 'fact', 'party', 'course', 'system']
['fact', 'work', 'man', 'group', 'place', 'life', 'world', 'information']
['case', 'house', 'end', 'day', 'company', 'work', 'place', 'year']
['government', 'part', 'day', 'company', 'house', 'world', 'party', 'case']
['year', 'day', 'information', 'government', 'fact', 'system', 'world', 'party']
['school', 'case', 'company', 'group', 'house', 'course', 'man', 'world']
['company', 'information', 'system', 'place', 'part', 'school', 'day', 'year']
['way', 'man', 'end', 'house', 'information', 'case', 'day', 'world']
['party', 'case', 'place', 'fact', 'life', 'information', 'year', 'system']
