['day', 'group', 'case', 'party', 'part', 'fact', 'school', 'work']
['part', 'fact', 'work', 'course', 'company', 'way', 'place', 'government']
['system', 'fact', 'day', 'group', 'party', 'government', 'school', 'course']
['end', 'government', 'party', 'world', 'system', 'course', 'house', 'life']
['fact', 'work', 'day', 'place', 'house', 'year', 'information', 'way']
['way', 'house', 'end', 'group', 'system', 'government', 'company', 'man']
['day', 'fact', 'end', 'world', 'place', 'company', 'course', 'way']
['school', 'government', 'place', 'course', 'house', 'life', 'case', 'world']
['course', 'government', 'company', 'part', 'system', 'case', 'world', 'fact']
['work', 'company', 'course', 'information', 'school', 'case', 'government', 'fact']
['man', 'world', 'school', 'year', 'government', 'day', 'life', 'place']
['party', 'school', 'company', 'group', 'government', 'way', 'life', 'fact']
['year', 'group', 'end', 'place', 'fact', 'school', 'system', 'company']
['way', 'case', 'information', 'year', 'school', 'company', 'party', 'house']
['way', 'world', 'party', 'company', 'government', 'man', 'system', 'year']
['party', 'life', 'group', 'man', 'house', 'way', 'case', 'company']
